movieId,title,release_year,genres,synopsis,director,main_actors,country
1031,Bring It On,2000,Comedy,"The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine thats sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain Torrance, the Toros road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen.",Peyton Reed,"Kirsten Dunst,Eliza Dushku,Jesse Bradford",United States of America
1032,The Boys  Girl from County Clare,2003,"Romance, Comedy, Music","In Ireland in the mid 1960s, two feuding brothers and their respective Ceilidh bands compete at a music festival.",John Irvin,"Colm Meaney,Bernard Hill,Shaun Evans",United Kingdom
1033,Copying Beethoven,2006,Drama,"A fictionalised exploration of Beethovens life in his final days working on his Ninth Symphony. It is 1824. Beethoven is racing to finish his new symphony. However, it has been years since his last success and he is plagued by deafness, loneliness and personal trauma. A copyist is urgently needed to help the composer. A fictional character is introduced in the form of a young conservatory student and aspiring composer named Anna Holtz. The mercurial Beethoven is skeptical that a woman might become involved in his masterpiece but slowly comes to trust in Annas assistance and in the end becomes quite fond of her. By the time the piece is performed, her presence in his life is an absolute necessity. Her deep understanding of his work is such that she even corrects mistakes he has made, while her passionate personality opens a door into his private world.",Agnieszka Holland,"Ed Harris,Diane Kruger,Matthew Goode",Germany
1034,Nowhere in Africa,2001,Drama,"A Jewish woman named Jettel Redlich flees Nazi Germany with her daughter Regina, to join her husband, Walter, on a farm in Kenya. At first, Jettel refuses to adjust to her new circumstances, bringing with her a set of china dishes and an evening gown. While Regina adapts readily to this new world, forming a strong bond with her fathers cook, an African named Owuor.",Caroline Link,"Juliane Kohler,Merab Ninidze,Sidede Onyulo",Germany
1035,Primal Fear,1996,"Crime, Drama, Mystery, Thriller","An arrogant, high-powered attorney takes on the case of a poor altar boy found running away from the scene of the grisly murder of the bishop who has taken him in. The case gets a lot more complex when the accused reveals that there may or may not have been a third person in the room.",Gregory Hoblit,"Richard Gere,Laura Linney,John Mahoney",United States of America
1036,Night at the Museum,2006,"Action, Adventure, Comedy, Family, Fantasy","Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits.",Shawn Levy,"Ben Stiller,Carla Gugino,Dick Van Dyke",United States of America
1037,A Shot in the Dark,1964,"Comedy, Mystery, Crime","Inspector Jacques Clouseau, smitten with the accused maid Maria Gambrelli, unwittingly turns a straightforward murder investigation into a comedic series of mishaps, testing the patience of his irritable boss Charles Dreyfus as casualties mount.",Blake Edwards,"Peter Sellers,Elke Sommer,George Sanders",United Kingdom
1038,Land of Plenty,2004,Drama,"After living abroad, Lana returns to the United States, and finds that her uncle is a reclusive vagabond with psychic wounds from the Vietnam War.",Wim Wenders,"Michelle Williams,John Diehl,Shaun Toub",Canada
1039,Population 436,2006,"Horror, Thriller",A census-taker is sent to investigate why a certain small town has had the same population -- 436 residents -- for the last 100 years.,Michelle MacLaren,"Jeremy Sisto,Charlotte Sullivan,Fred Durst",Canada
1040,Meet the Parents,2000,"Comedy, Romance","Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pams sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jacks critical, hawklike gaze.",Jay Roach,"Ben Stiller,Robert De Niro,Teri Polo",United States of America
1041,Cape Fear,1991,"Drama, Crime, Thriller","Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, Bible-quoting, psychotic rapist. What do they have in common 14 years ago, Sam was a public defender assigned to Max Cadys rape trial, and he made a serious error he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.",Martin Scorsese,"Robert De Niro,Nick Nolte,Jessica Lange",United States of America
1042,I  Huckabees,2004,"Comedy, Romance","A husband-and-wife team play detective, but not in the traditional sense. Instead, the happy duo helps others solve their existential issues, the kind that keep you up at night, wondering what it all means.",David O. Russell,"Jason Schwartzman,Isabelle Huppert,Dustin Hoffman",Germany
1043,The Double Life of Veronique,1991,Drama,"Veronique is a beautiful young French woman who aspires to be a renowned singer Weronika lives in Poland, has a similar career goal and looks identical to Veronique, though the two are not related. The film follows both women as they contend with the ups and downs of their individual lives, with Veronique embarking on an unusual romance with Alexandre Fabbri, a puppeteer who may be able to help her with her existential issues.",Krzysztof Kieslowski,"Irene Jacob,Halina Gryglaszewska,Philippe Volter",France
1044,A Bronx Tale,1993,"Drama, Crime","Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngsters growing attraction - forbidden in his neighborhood - for a beautiful black girl.",Robert De Niro,"Robert De Niro,Chazz Palminteri,Lillo Brancato",United States of America
1045,When Saturday Comes,1996,Drama,"Jimmy Muir comes from a typical gritty, northern town where there are only two options working down the pit or in a factory. But Jimmy has other ideas - he dreams of becoming a professional footballer. Confronted by a bitter and unsupportive father, hard drinking friends and a lifetime of bad habits...has Jimmy the will to achieve his ultimate goal",Maria Giese,"Sean Bean,Emily Lloyd,Craig Kelly",United Kingdom
1046,Theres Only One Jimmy Grimble,2000,Comedy,"Jimmy Grimble is a shy Manchester school boy. At school he is constantly being bullied by the other kids, and at home he has to face his mothers new boyfriend. However, through football, and some special boots, he manages to gain the confidence to succeed and leads his school football team towards the final of the local schools cup.",John Hay,"Lewis McKenzie,Jane Lapotaire,Gina McKee",France
1047,Fever Pitch,1997,"Comedy, Romance","A romantic comedy about a man, a woman and a football team. Based on Nick Hornbys best selling autobiographical novel, Fever Pitch. English teacher Paul Ashworth believes his long standing obsession with Arsenal serves him well. But then he meets Sarah. Their relationship develops in tandem with Arsenals roller coaster fortunes in the football league, both leading to a nail biting climax.",David Evans,"Colin Firth,Ruth Gemmell,Mark Strong",United Kingdom
1048,The Miracle of Bern,2003,"Drama, Comedy","The movie deals with the championship-winning German soccer team of 1954. Its story is linked with two others The family of a young boy is split due to the events in World War II, and the father returns from Russia after eleven years. The second story is about a reporter and his wife reporting from the tournament.",Sonke Wortmann,"Louis Klamroth,Peter Lohmeyer,Johanna Gastdorf",Germany
1049,Two for the Road,1967,"Drama, Romance, Comedy","Architect Mark Wallace Albert Finney and his wife, Joanna Audrey Hepburn, travel to France to meet with an affluent client Claude Dauphin. While there, they reflect on their first decade of marriage -- memories of when they first met, of courtship and of road trips through the French countryside. As flirtation and playful quarreling turn to boredom with the banality of married life, the Wallaces struggle to rekindle their passion, while mutual infidelity threatens to tear them apart.",Stanley Donen,"Audrey Hepburn,Albert Finney,Georges Descrieres",United Kingdom
1050,The 51st State,2001,"Thriller, Action, Comedy, Crime",An American master chemist plans to score big on a once in a lifetime drug deal. All does not go as planned and he is soon entangled in a web of deceit.,Ronny Yu,"Samuel L. Jackson,Robert Carlyle,Emily Mortimer",Canada
1051,Erkan  Stefan 2,2002,Comedy,A couple of slackers find an antique dagger and manage to free the gorgeous female warrior that was imprisoned in it by an evil spell. An evil sorcerer is not happy by this turn of events and determines to possess both the blade and the warrior through a sacrificial ceremony. The two heroes manage to rescue the damsel in distress and defeat the wizard and his minions by employing skills mastered through hours of video game play.,Axel Sand,"Florian Simbeck,John Friedmann,Bettina Zimmermann",Germany
1052,Erkan  Stefan 3,2005,Comedy,The 3rd movie by the comedian duo Erkan and Stefan.,Michael Karen,"John Friedmann,Ludger Pistor,Andrea Sawatzki",Germany
1053,Still Crazy,1998,"Comedy, Music","In the seventies Strange Fruit were it. They lived the rock lifestyle to the max, groupies, drugs, internal tension and an ex front man dead from an overdose. Even their demise was glamorous when lightning struck the stage during an outdoor festival. 20 years on and these former rock gods they have now sunk deep into obscurity when the idea of a reunion tour is lodged in the head of Tony, former keyboard player of the Fruits. Tony sets out to find his former bandmates with the help of former manager Karen to see if they can recapture the magic and give themselves a second chance.",Brian Gibson,"Stephen Rea,Billy Connolly,Jimmy Nail",United Kingdom
1054,The Way of the Gun,2000,"Action, Crime, Drama, Thriller",Two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother of a powerful and shady man.,Christopher McQuarrie,"Ryan Phillippe,Benicio del Toro,Juliette Lewis",United States of America
1055,Hitman,2007,"Action, Thriller, Drama","A genetically engineered assassin with deadly aim, known only as Agent 47 eliminates strategic targets for a top-secret organization. But when hes double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",Xavier Gens,"Timothy Olyphant,Dougray Scott,Olga Kurylenko",France
1056,Trading Places,1983,Comedy,A snobbish investor and a wily street con-artist find their positions reversed as part of a bet by two callous millionaires.,John Landis,"Dan Aykroyd,Eddie Murphy,Ralph Bellamy",United States of America
1057,Lemming,2005,"Drama, Thriller, Mystery","After the death of his bosss wife, a young engineer faces the sudden psychological metamorphosis of his own wife, seemingly possessed by the soul of the deceased...",Dominik Moll,"Laurent Lucas,Charlotte Gainsbourg,Andre Dussollier",France
1058,Brubaker,1980,"Crime, Drama",The new warden of a small prison farm in Arkansas tries to clean it up of corruption after initially posing as an inmate.,Stuart Rosenberg,"Robert Redford,Yaphet Kotto,Jane Alexander",United States of America
1059,Liar Liar,1997,Comedy,"Fletcher Reed, a fast-talking, habitual liar, divorced father, is an incredibly successful lawyer who has built his career by lying. He is used to giving priority to his job and always breaking promises to be with his young son Max, but Fletcher often lets Max down, by missing his sons birthday party. But even then at 815 Max decides to make him an honest man as he wishes for a whole day where his father cant lie. When his son Max blows out the candles on his fifth birthday, he only has one wish - for his father to stop lying for 24 hours. When Maxs wish comes true, Fletcher discovers that his mouth has suddenly become his biggest obstacle",Tom Shadyac,"Jim Carrey,Maura Tierney,Justin Cooper",United States of America
